# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	514
#@/user_id	eaaa1e88-c0ae-4b24-9257-a9be85c947bf
ai ni 	愛你	c=3 d=1.86127 t=442
an an 	安安	c=1 d=1 t=271
ba 	把	c=1 d=1 t=160
ba ge 	八個	c=0 d=0.1 t=243
ba ge dian 	八個點	c=1 d=1 t=244
ba la 	扒拉	c=2 d=1.99501 t=171
ban 	辦	c=1 d=1 t=319
bao bei 	寶貝	c=3 d=1.7507 t=389
bi 	比	c=0 d=0.1 t=312
bi jiao 	比較	c=1 d=1 t=417
bi lao shi 	比老師	c=1 d=1 t=313
bian ka 	變卡	c=1 d=1 t=71
bie ren 	別人	c=0 d=0.1 t=378
bie ren le 	別人了	c=1 d=1 t=379
bu cuo de 	不錯的	c=2 d=1.99501 t=337
bu da 	不大	c=1 d=1 t=351
bu dui 	不對	c=1 d=1 t=341
bu guo 	不過	c=1 d=1 t=86
bu he 	不喝	c=1 d=1 t=450
bu hui de 	不會的	c=1 d=1 t=149
bu shi 	不是	c=1 d=1 t=397
bu shuo hua 	不說話	c=1 d=1 t=146
bu suan 	不算	c=1 d=1 t=8
bu yao 	不要	c=2 d=1.99005 t=165
bu yao le 	不要了	c=1 d=1 t=377
cao zuo 	操作	c=1 d=1 t=135
cha bu duo 	差不多	c=1 d=1 t=243
chao 	超	c=1 d=1 t=198
che 	扯	c=1 d=1 t=309
chu qu 	出去	c=1 d=1 t=462
chuan 	穿	c=1 d=1 t=393
chuang xin 	創新	c=1 d=1 t=43
chui zi 	錘子	c=1 d=1 t=38
cuo guai 	錯怪	c=1 d=1 t=458
dan 	單	c=1 d=1 t=307
dan shi 	但是	c=1 d=1 t=423
dang shi 	當時	c=1 d=1 t=245
dao 	到	c=1 d=1 t=474
dao teng 	倒騰	c=1 d=1 t=492
de 	得	c=1 d=1 t=435
de 	的	c=9 d=4.21 t=497
de fu 	德芙	c=1 d=1 t=433
de tou xiang 	的頭像	c=1 d=1 t=396
di dian 	地點	c=1 d=1 t=464
dian 	點	c=1 d=0.881298 t=288
dian ke 	電科	c=2 d=1.73712 t=353
diao 	雕	c=1 d=1 t=327
die le 	跌了	c=1 d=1 t=252
ding hao 	訂好	c=0 d=0.1 t=464
ding hao le ma 	訂好了嗎	c=1 d=1 t=465
ding jia 	定價	c=0 d=0.1 t=249
dong xi 	東西	c=2 d=1.17464 t=404
dou 	都	c=1 d=1 t=115
dou shi 	都是	c=2 d=1.94649 t=275
dou zai 	都在	c=1 d=1 t=130
duan lian 	鍛鍊	c=1 d=1 t=265
dui 	對	c=2 d=1.14515 t=419
dui de 	對的	c=1 d=1 t=157
dui le 	對了	c=1 d=1 t=444
dun 	頓	c=1 d=1 t=10
duo 	多	c=1 d=1 t=121
duo shao 	多少	c=1 d=1 t=197
e 	哦	c=0 d=0.1 t=207
e 	額	c=1 d=1 t=498
ei 	誒	c=1 d=1 t=91
en en 	嗯嗯	c=1 d=1 t=469
er qie 	而且	c=1 d=1 t=63
fan fan 	飯飯	c=1 d=1 t=31
fan ying 	反應	c=1 d=1 t=17
fan ying 	反映	c=1 d=1 t=16
fei chang 	非常	c=5 d=2.03704 t=356
fu chong 	俯衝	c=1 d=1 t=268
gan ga 	尷尬	c=1 d=1 t=147
gan jue 	感覺	c=5 d=2.28462 t=514
gang gang 	剛剛	c=2 d=1.99501 t=426
ge 	個	c=2 d=1.47001 t=180
ge 	擱	c=1 d=1 t=381
ge ju 	格局	c=1 d=1 t=206
gei ni 	給你	c=1 d=1 t=169
gou 	狗	c=1 d=1 t=210
gu 	股	c=1 d=1 t=429
gu piao 	股票	c=2 d=1.38289 t=415
guan fang 	官方	c=1 d=1 t=437
guan xin 	關心	c=1 d=1 t=111
guo 	過	c=1 d=1 t=394
ha ha ha 	哈哈哈	c=14 d=5.54804 t=479
ha ha ha ha 	哈哈哈哈	c=6 d=3.2068 t=489
hai 	還	c=1 d=1 t=57
hai gao 	還高	c=1 d=1 t=317
hai hui 	還會	c=1 d=1 t=109
hai jiu 	還就	c=1 d=1 t=325
hai shi 	還是	c=24 d=8.40264 t=494
hai you 	還有	c=1 d=1 t=449
hai zai 	還在	c=1 d=1 t=365
hao 	好	c=3 d=1.63454 t=486
hao de 	好的	c=1 d=1 t=439
hao di 	好滴	c=2 d=1.97045 t=505
hao duo 	好多	c=1 d=1 t=56
hao lei 	好嘞	c=2 d=1.22537 t=456
hao zhi yu 	好治癒	c=1 d=1 t=402
he 	和	c=1 d=1 t=513
he 	喝	c=2 d=1.09255 t=512
he ta jia 	和他家	c=1 d=1 t=209
hen 	很	c=2 d=1.85438 t=95
hen bu cuo 	很不錯	c=6 d=1.908 t=363
hen fang bian 	很方便	c=1 d=1 t=477
hen hao yong 	很好用	c=1 d=1 t=69
hen kuai 	很快	c=1 d=1 t=355
hen kun 	很困	c=1 d=1 t=398
